"game_id","line.x.team1","spread.team1","line.y.team1","first_downs.team1","total_yards.team1","passing.team1","yards_per_pass.team1","rushing.team1","rushing_attempts.team1","yards_per_rush.team1","turnovers.team1","fumbles_lost.team1","ints_thrown.team1","possession.team1","score.team1","third_downs.team1","third_down_att.team1","fourth_downs.team1","fourth_down_att.team1","penalties.team1","penalty_yards.team1","X3.team1","count.team1.x","season_1H_third_down_total.team1","season_1H_third_down_att_total.team1","season_1H_third_down_conv.team1","season_1H_fourth_down_total.team1","season_1H_yards_total.team1","season_1H_pass_yards_total.team1","season_1H_fourth_down_avg.team1","season_1H_yards_avg.team1","season_1H_pass_yards_avg.team1","season_1H_penalty_yards_total.team1","season_1H_penalty_yards_avg.team1","season_1H_turnovers_total.team1","season_1H_turnovers_avg.team1","first_downs.team2","total_yards.team2","passing.team2","yards_per_pass.team2","rushing.team2","rushing_attempts.team2","yards_per_rush.team2","turnovers.team2","fumbles_lost.team2","ints_thrown.team2","possession.team2","score.team2","third_downs.team2","third_down_att.team2","fourth_downs.team2","fourth_down_att.team2","penalties.team2","penalty_yards.team2","X3.team2","count.team2.x","season_1H_third_down_total.team2","season_1H_third_down_att_total.team2","season_1H_third_down_conv.team2","season_1H_fourth_down_total.team2","season_1H_yards_total.team2","season_1H_pass_yards_total.team2","season_1H_fourth_down_avg.team2","season_1H_yards_avg.team2","season_1H_pass_yards_avg.team2","season_1H_penalty_yards_total.team2","season_1H_penalty_yards_avg.team2","season_1H_turnovers_total.team2","season_1H_turnovers_avg.team2","game_date.x.x.team1","team.team1","third_downs_2H.team1","third_down_att_2H.team1","fourth_downs_2H.team1","fourth_down_att_2H.team1","penalties_2H.team1","penalty_yards_2H.team1","total_yards_2H.team1","pass_yards_2H.team1","turnovers_2H.team1","score.y.team1","count.team1.y","season_2H_third_down_total.team1","season_2H_third_down_att_total.team1","season_2H_third_down_conv.team1","season_2H_fourth_down_total.team1","season_2H_yards_total.team1","season_2H_pass_yards_total.team1","season_2H_fourth_down_avg.team1","season_2H_yards_avg.team1","season_2H_pass_yards_avg.team1","season_2H_penalty_yards_total.team1","season_2H_penalty_yards_avg.team1","season_2H_turnovers_total.team1","season_2H_turnovers_avg.team1","game_date.x.x.team2","team.team2","third_downs_2H.team2","third_down_att_2H.team2","fourth_downs_2H.team2","fourth_down_att_2H.team2","penalties_2H.team2","penalty_yards_2H.team2","total_yards_2H.team2","pass_yards_2H.team2","turnovers_2H.team2","score.y.team2","count.team2.y","season_2H_third_down_total.team2","season_2H_third_down_att_total.team2","season_2H_third_down_conv.team2","season_2H_fourth_down_total.team2","season_2H_yards_total.team2","season_2H_pass_yards_total.team2","season_2H_fourth_down_avg.team2","season_2H_yards_avg.team2","season_2H_pass_yards_avg.team2","season_2H_penalty_yards_total.team2","season_2H_penalty_yards_avg.team2","season_2H_turnovers_total.team2","season_2H_turnovers_avg.team2"
400787252,"66","+11","33.5",10,354,96,5.1,258,22,11.7,1,1,0,"13:34",26,4,8,0,1,2,10,"2",3,4,12,0.333333333333333,0,451,317,0,225.5,158.5,85,42.5,1,0.5,10,216,33,2.1,183,26,7,1,0,1,"16:26",14,4,10,1,1,2,17,"2",3,9,17,0.529411764705882,1,420,146,0.5,210,73,77,38.5,0,0,"10/03/2015","NMSU",0,8,1,3,5,29,62,12,2,29,2,4,9,0.444444444444444,0,300,266,0,300,266,30,30,0,0,"10/03/2015","UNM",2,7,1,1,2,10,230,12,1,38,3,5,17,0.294117647058824,1,284,72,0.5,142,36,27,13.5,1,0.5
400787253,"52","+26","26",10,223,85,7.7,138,27,5.1,2,1,1,"22:07",7,3,7,0,1,4,35,"4",3,7,14,0.5,0,472,353,0,236,176.5,60,30,0,0,7,174,65,8.1,109,12,9.1,1,0,1,"7:53",21,0,4,1,1,0,0,"0",2,6,8,0.75,0,296,147,0,296,147,40,40,1,1,"10/03/2015","WYO",2,7,1,2,3,30,150,70,1,13,3,7,16,0.4375,1,345,309,0.5,172.5,154.5,95,47.5,4,2,"10/03/2015","APP",0,4,0,1,4,30,140,0,0,31,2,2,6,0.333333333333333,1,205,51,1,205,51,28,28,0,0
400787254,"57","+20.5","24.5",5,51,18,1.5,33,17,1.9,2,1,1,"13:54",3,0,6,0,0,0,0,"0",4,10,21,0.476190476190476,0,695,438,0,231.666666666667,146,95,31.6666666666667,2,0.666666666666667,6,109,21,2.6,88,29,3,2,1,1,"16:06",7,3,9,0,0,1,15,"1",4,6,21,0.285714285714286,2,454,16,0.666666666666667,151.333333333333,5.33333333333333,93,31,6,2,"10/10/2015","WYO",2,6,1,1,1,10,256,174,2,17,4,9,23,0.391304347826087,2,495,379,0.666666666666667,165,126.333333333333,125,41.6666666666667,5,1.66666666666667,"10/10/2015","AFA",2,5,0,0,1,15,270,59,0,31,4,8,21,0.380952380952381,3,703,230,1,234.333333333333,76.6666666666667,75,25,2,0.666666666666667
400787255,"60.5","-16","28.5",14,383,298,11.5,85,13,6.5,0,0,0,"13:04",27,1,5,0,1,4,45,"4",3,6,16,0.375,1,423,281,0.5,211.5,140.5,43,21.5,1,0.5,9,177,81,4.8,96,25,3.8,2,1,1,"16:56",10,2,10,2,2,5,35,"5",4,14,26,0.538461538461538,0,547,331,0,182.333333333333,110.333333333333,118,39.3333333333333,1,0.333333333333333,"10/10/2015","BSU",3,7,1,2,2,20,214,98,1,41,3,5,11,0.454545454545455,0,536,270,0,268,135,58,29,2,1,"10/10/2015","CSU",3,7,0,0,4,58,79,70,1,10,3,7,17,0.411764705882353,3,474,321,1.5,237,160.5,83,41.5,3,1.5
400787258,"54","+4","26",7,146,31,5.2,115,26,4.4,0,0,0,"16:23",10,2,8,1,1,1,10,"1",4,13,27,0.481481481481481,2,636,179,0.666666666666667,212,59.6666666666667,94,31.3333333333333,1,0.333333333333333,15,244,40,4,204,24,8.5,1,1,0,"13:37",14,1,4,0,1,0,0,"0",4,4,19,0.210526315789474,1,544,196,0.333333333333333,181.333333333333,65.3333333333333,117,39,0,0,"10/10/2015","UNM",3,7,1,1,4,50,127,107,2,17,4,7,24,0.291666666666667,2,514,84,0.666666666666667,171.333333333333,28,37,12.3333333333333,2,0.666666666666667,"10/10/2015","NEV",4,6,1,1,1,5,273,126,1,35,4,10,25,0.4,0,537,302,0,179,100.666666666667,60,20,2,0.666666666666667
400787260,"54.5","-3.5","28",9,204,45,9,159,31,5.1,0,0,0,"17:32",13,5,9,1,2,2,20,"2",5,9,30,0.3,2,563,37,0.5,140.75,9.25,108,27,8,2,11,260,194,8.8,66,12,5.5,1,0,1,"12:28",21,6,8,0,1,3,25,"3",5,16,36,0.444444444444444,2,724,412,0.5,181,103,153,38.25,3,0.75,"10/17/2015","AFA",4,8,1,3,3,25,202,92,2,23,5,10,26,0.384615384615385,3,973,289,0.75,243.25,72.25,90,22.5,2,0.5,"10/17/2015","CSU",4,7,0,0,6,62,196,102,0,38,4,10,24,0.416666666666667,3,553,391,1,184.333333333333,130.333333333333,141,47,4,1.33333333333333
400787262,"0","0","27",13,276,158,12.2,118,26,4.5,0,0,0,"14:52",24,6,8,0,0,4,29,"4",2,1,6,0.166666666666667,0,106,101,0,106,101,38,38,0,0,15,198,83,7.5,115,30,3.8,2,2,0,"15:08",14,3,6,1,1,2,5,"2",5,15,35,0.428571428571429,3,782,210,0.75,195.5,52.5,104,26,1,0.25,"10/17/2015","HAW",4,10,0,0,7,65,139,37,2,27,2,3,7,0.428571428571429,0,149,139,0,149,139,62,62,0,0,"10/17/2015","UNM",6,10,0,1,7,59,194,112,0,28,5,10,31,0.32258064516129,3,641,191,0.75,160.25,47.75,87,21.75,4,1
400787264,"55.5","-6.5","28",11,158,57,4.8,101,20,5.1,0,0,0,"14:00",7,3,6,0,0,2,20,"2",5,5,23,0.217391304347826,1,788,236,0.25,197,59,117,29.25,1,0.25,16,279,153,9.6,126,19,6.6,0,0,0,"16:00",21,3,5,1,1,3,35,"3",5,10,27,0.37037037037037,0,746,456,0,186.5,114,95,23.75,4,1,"10/17/2015","NEV",3,6,0,2,3,21,247,230,0,21,5,14,31,0.451612903225806,1,810,428,0.25,202.5,107,65,16.25,3,0.75,"10/17/2015","WYO",4,8,0,0,4,36,206,60,0,28,5,11,29,0.379310344827586,3,751,553,0.75,187.75,138.25,135,33.75,7,1.75
400787266,"54.5","+17","27.5",7,225,93,4.9,132,14,9.4,1,0,1,"11:11",14,1,6,0,1,4,29,"4",3,8,14,0.571428571428571,1,305,98,0.5,152.5,49,45,22.5,1,0.5,11,269,59,7.4,210,36,5.8,0,0,0,"18:49",21,3,9,2,2,3,23,"3",6,14,39,0.358974358974359,3,767,82,0.6,153.4,16.4,128,25.6,8,1.6,"10/24/2015","FRES",1,6,0,1,1,10,86,84,0,14,3,8,18,0.444444444444444,1,470,336,0.5,235,168,47,23.5,2,1,"10/24/2015","AFA",5,9,1,3,2,15,317,69,1,42,6,14,34,0.411764705882353,4,1175,381,0.8,235,76.2,115,23,4,0.8
400787267,"60.5","+34.5","27",8,103,60,6,43,14,3.1,1,0,1,"13:15",7,1,4,0,0,4,30,"4",6,13,32,0.40625,1,1025,609,0.2,205,121.8,130,26,4,0.8,14,196,102,6,94,25,3.8,0,0,0,"16:45",24,7,10,1,1,4,44,"4",5,10,31,0.32258064516129,2,911,657,0.5,227.75,164.25,93,23.25,8,2,"10/24/2015","WYO",2,6,0,0,1,5,130,63,0,14,6,15,37,0.405405405405405,3,957,613,0.6,191.4,122.6,171,34.2,7,1.4,"10/24/2015","BSU",5,9,0,0,4,30,222,109,1,34,5,10,24,0.416666666666667,2,978,589,0.5,244.5,147.25,103,25.75,4,1
